participant	study	session_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
20372	BHRC	1	-86	1			1		1	Pass
20372	BHRC	2	-90	1			1		1	Pass
20373	BHRC	1	-68	1			1		1	Pass
20377	BHRC	1	-104	1			1		1	Pass
20378	BHRC	1	-71			1	1	1	1	Pass
20378	BHRC	2	-64		1	1		1	1	Pass
20380	BHRC	1	-58			1	1	1	1	Pass
20381	BHRC	1	-84	1	1	1	0.75	0.5	0.85	Artifact
20382	BHRC	1	-56	1			1		1	Pass
20382	BHRC	2	-61	1	1	1	1	1	1	Pass
20384	BHRC	3	-57	1	1				1	Pass
20386	BHRC	1	-65		1	1		1	1	Pass
20386	BHRC	2	-56	1	1	1	1	1	1	Pass
20388	BHRC	1	-75		1	1		1	1	Pass
20391	BHRC	1	-69	1			1		1	Pass
20396	BHRC	1	-81	1	1	1	1	1	1	Pass
20400	BHRC	1	-97	1	1				1	Pass
20400	BHRC	2	-110	1			1		1	Pass
20406	BHRC	1	-66		1	1		1	1	Pass
20409	BHRC	2	-89	1	1				1	Pass
20414	BHRC	1	-56	1	1				1	Pass
20417	BHRC	2	-56	1			1		1	Pass
20422	BHRC	1	-64	1	1				1	Pass
20430	BHRC	1	-43			1	1	1	1	Pass
20430	BHRC	2	-36		1	1		1	1	Pass
20431	BHRC	1	-78			1	1	1	1	Pass
20437	BHRC	1	-65			1	1	1	1	Pass
20442	BHRC	1	-66	1	1	1	1	1	1	Pass
20442	BHRC	2	-68		1	1		1	1	Pass
20445	BHRC	1	-110	1	1				1	Pass
20446	BHRC	1	-89	1	1				1	Pass
20446	BHRC	2	-74	1	1	1	1	1	1	Pass
20451	BHRC	1	-111	1	1	1	1	1	1	Pass
20453	BHRC	1	-71	1	1				1	Pass
20453	BHRC	2	-90			1	1	1	1	Pass
20456	BHRC	2	-87	1	1				1	Pass
20460	BHRC	1	-80			1	1	1	1	Pass
20461	BHRC	1	-31	1	1				1	Pass
20461	BHRC	2	-36	1			1		1	Pass
20466	BHRC	1	-117		0.75	1		1	0.916666667	Artifact
20466	BHRC	2	-61	1	1	1	1	1	1	Pass
20467	BHRC	1	-50			1	1	1	1	Pass
20467	BHRC	2	-82	1			1		1	Pass
